commitment,commitment_key,cost_type,on_demand_cost,amortized_cost,savings_dollars,effective_savings_rate
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-3#m5#RunInstances#shared,Usage with Discount,589.6083059657999,336.91903196839934,252.68927399740056,0.428571428591879
arn:aws:savingsplans::527480136527:savingsplan/450993cf-80c3-57bf-f7ca-4a2a5b89a6c1,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,667.389302177303,420.5365990991964,246.85270307810657,0.36987812401662695
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-west-1#g5.4xlarge#RunInstances#shared,Usage with Discount,494.6285810433001,267.0994883325001,227.5290927108,0.4599998896765773
arn:aws:savingsplans::559750980952:savingsplan/4b0ebb17-590f-a713-6516-f67ec77f1962,AWS#Compute-EC2#eu-central-1#c5#RunInstances#shared,Usage with Discount,522.6551715405011,297.6979198677997,224.95725167270137,0.4304123711426229
arn:aws:savingsplans::559750980952:savingsplan/bdfcc9b2-c4d1-da42-2a5e-dfc9da9d4512,AWS#Compute-EC2#eu-west-3#c5a#RunInstances#shared,Usage with Discount,501.58072026229945,279.03872487120026,222.5419953910992,0.44368131868131183
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-west-3#t3a#RunInstances#shared,Usage with Discount,533.0505639706996,311.19539918480154,221.85516478589807,0.4161990996375587
arn:aws:savingsplans::417908285034:savingsplan/fa6ce1ab-3d42-0fda-9680-980310866d79,AWS#Compute-EC2#eu-west-3#c5a#RunInstances#shared,Usage with Discount,453.55378201449963,252.32044191860018,201.23334009589945,0.4436813186786881
arn:aws:elasticache:eu-west-3:662505700522:reserved-instance:ri-2023-07-02-22-20-36-748,AWS#AmazonElastiCache-Cache Instance#eu-west-3#t3#CreateCacheCluster:0002#unknown-tenancy,Usage with Discount,612.4079999999988,419.0160000000048,193.39199999999397,0.3157894736842013
arn:aws:rds:eu-central-1:559750980952:ri:ri-2025-01-13-06-24-24-124,AWS#AmazonRDS-Database Instance#eu-central-1#r6g#CreateDBInstance:0014#unknown-tenancy,Usage with Discount,556.323739825501,368.1777895199997,188.1459503055013,0.33819507750022676
arn:aws:savingsplans::559750980952:savingsplan/3a009073-162b-72c7-ca88-9c12cea624b7,AWS#Compute-EC2#eu-central-1#m5#RunInstances#shared,Usage with Discount,461.89537745470005,279.1454672444999,182.74991021020014,0.3956521739127453
