commitment_per_hour,total_savings_dollars,total_unused_commitment_waste,total_consumed_commitment,total_paid_commitment,total_eligible_on_demand_cost,total_covered_on_demand_cost,effective_savings_rate,coverage_rate,average_utilization
12.377009421193362,23115.46171901398,0.0,27328.43680199598,27328.436801994943,95350.76545173008,50443.89852100904,0.24242554959578003,0.5290350662842399,1.000000000000038
12.620036445938595,23519.531224651142,0.0,27865.040472633427,27865.04047263242,95350.76545173008,51384.57169728356,0.24666326602860422,0.5389004635027942,1.0000000000000362
12.7921864640955,23805.267443648157,0.0,28245.147712723316,28245.147712722865,95350.76545173008,52050.41515637099,0.24965995113798245,0.545883558561685,1.000000000000016
12.975506609587875,24108.982881143707,0.0,28649.918593971357,28649.918593970026,95350.76545173008,52758.90147511368,0.25284519496960434,0.5533138745679194,1.0000000000000464
13.15238453579732,24401.373331316565,0.0,29040.46505504156,29040.465055040484,95350.76545173008,53441.8383863571,0.2559116669458663,0.5604762387923486,1.000000000000037
13.373917372704398,24766.89218198878,0.0,29529.609558931432,29529.60955893131,95350.76545173008,54296.50174092,0.25974507980774053,0.5694396000250969,1.000000000000004
13.647069770070118,25216.70422430232,0.0,30132.73005231591,30132.730052314822,95350.76545173008,55349.43427661717,0.26446252533827747,0.5804823276918212,1.0000000000000362
13.960644639293216,25732.19088249932,0.0,30825.103363560153,30825.10336355942,95350.76545173008,56557.29424605875,0.2698687394966521,0.5931498711952139,1.0000000000000238
14.054845521080283,25886.87760710842,0.0,31033.098910546363,31033.098910545265,95350.76545173008,56919.976517653704,0.27149103087392906,0.5969535351708173,1.0000000000000353
14.271468141688647,26242.172741922557,0.0,31511.401656847393,31511.40165684853,95350.76545173008,57753.57439877104,0.2752172215671123,0.6056959702962,0.9999999999999639
14.368087938150977,26400.263098718693,0.0,31724.738167436728,31724.738167437357,95350.76545173008,58125.00126615597,0.2768752088527641,0.6095913440315368,0.9999999999999801
14.494349767968082,26606.385764352293,0.0,32003.524287672604,32003.524287673525,95350.76545173008,58609.910052025916,0.2790369394341295,0.614676869916648,0.9999999999999712
